
<!-- 40.9196s -->
Abies balsamea,balsam fir
Abies concolor,white fir
Abies grandis,grand fir
Abies lasiocarpa,subalpine fir
Acer glabrum,Rocky Mountain maple
Acer macrophyllum,bigleaf maple
Acer negundo,boxelder
Acer pensylvanicum,striped maple
Acer rubrum,red maple
Acer saccharum,sugar maple
Achillea millefolium,common yarrow
Adenostoma fasciculatum,chamise
Aesculus californica,California buckeye
Alliaria petiolata,garlic mustard
Alnus incana,gray alder
Alnus rubra,red alder
Alnus viridis,green alder
Ambrosia artemisiifolia,annual ragweed
Amelanchier alnifolia,Saskatoon serviceberry
Amelanchier canadensis,Canadian serviceberry
Amelanchier utahensis,Utah serviceberry
Andropogon gerardii,big bluestem
Aquilegia caerulea,Colorado blue columbine
Aquilegia canadensis,red columbine
Aquilegia formosa,western columbine
Arctostaphylos patula,greenleaf manzanita
Arctostaphylos uva-ursi,kinnikinnick
Arisaema triphyllum,jack in the pulpit
Artemisia tridentata,big sagebrush
Asclepias asperula,spider milkweed
Asclepias incarnata,swamp milkweed
Asclepias sullivanti,prairie milkweed
Asclepias syriaca,common milkweed
Asclepias tuberosa,butterfly milkweed
Atriplex hymenelytra,desertholly
Avicennia germinans,black mangrove
Baccharis pilularis,coyotebrush
Betula alleghaniensis,yellow birch
Betula lenta,sweet birch
Betula nana,dwarf birch
Betula papyrifera,paper birch
Bouteloua curtipendula,sideoats grama
Bouteloua gracilis,blue grama
Brassica rapa,field mustard
Brassica tournefortii,Asian mustard
Bromus tectorum,cheatgrass
Buchloe dactyloides,buffalograss
Bursera simaruba,gumbo limbo
Caltha palustris,yellow marsh marigold
Carex aquatilis,water sedge
Carnegia gigantea,saguaro
Carya glabra,pignut hickory
Carya ovata,shagbark hickory
Castanea dentata,American chestnut
Ceanothus cuneatus,buckbrush
Ceanothus velutinus,snowbrush ceanothus
Centaurea solstitialis,yellow star-thistle
Centaurea stoebe,spotted knapweed
Cephalanthus occidentalis,common buttonbush
Cercis canadensis,eastern redbud
Cercocarpus ledifolius,curl-leaf mountain mahogany
Chamaedaphne calyculata,leatherleaf
Chamerion angustifolium,fireweed
